Teff,Logg,G2018,G2018_BP,G2018_RP,J,H,K,W1_W10,W2_W10,W3_W10,W4_W10
3800.00,5.50,-36.203,-35.273,-37.126,-38.353,-38.948,-39.171,-39.284,-39.356,-39.474,-39.530
3900.00,2.50,-36.191,-35.299,-37.078,-38.376,-39.213,-39.399,-39.439,-39.365,-39.515,-39.539
3900.00,3.00,-36.210,-35.325,-37.096,-38.387,-39.229,-39.406,-39.438,-39.376,-39.518,-39.546
3900.00,3.50,-36.211,-35.317,-37.106,-38.401,-39.234,-39.405,-39.426,-39.382,-39.511,-39.545
3900.00,4.00,-36.236,-35.337,-37.136,-38.415,-39.203,-39.375,-39.404,-39.386,-39.506,-39.546
3900.00,4.50,-36.288,-35.394,-37.189,-38.425,-39.135,-39.323,-39.381,-39.394,-39.509,-39.549
3900.00,5.00,-36.343,-35.465,-37.238,-38.429,-39.064,-39.271,-39.363,-39.399,-39.514,-39.557
3900.00,5.50,-36.374,-35.505,-37.264,-38.427,-39.019,-39.236,-39.348,-39.400,-39.518,-39.564
4000.00,2.50,-36.407,-35.599,-37.250,-38.459,-39.259,-39.436,-39.477,-39.398,-39.544,-39.563
4000.00,3.00,-36.419,-35.614,-37.262,-38.468,-39.276,-39.445,-39.479,-39.410,-39.548,-39.571
4000.00,3.50,-36.415,-35.601,-37.266,-38.479,-39.284,-39.448,-39.474,-39.417,-39.545,-39.571
4000.00,4.00,-36.423,-35.600,-37.283,-38.492,-39.273,-39.436,-39.460,-39.421,-39.539,-39.569
4000.00,4.50,-36.457,-35.627,-37.323,-38.504,-39.221,-39.394,-39.440,-39.428,-39.540,-39.571
4000.00,5.00,-36.518,-35.701,-37.378,-38.509,-39.156,-39.347,-39.427,-39.439,-39.554,-39.587
